Designator,Mid X,Mid Y,Layer,Rotation
C1,139.648000mm,-62.767000mm,Bottom,270
C2,125.222000mm,-81.026000mm,Bottom,0
C3,138.430000mm,-80.264000mm,Bottom,90
C4,137.383000mm,-62.017000mm,Bottom,180
C5,141.224000mm,-64.643000mm,Bottom,90
C6,122.047000mm,-65.151000mm,Bottom,270
C7,139.573000mm,-79.248000mm,Bottom,270
C8,141.732000mm,-79.248000mm,Bottom,270
C9,142.392400mm,-75.107800mm,Bottom,0
C10,142.113000mm,-67.183000mm,Bottom,0
C11,137.795000mm,-101.473000mm,Bottom,0
C12,137.795000mm,-99.695000mm,Bottom,0
C13,125.984000mm,-50.546000mm,Bottom,0
C14,125.730000mm,-56.388000mm,Bottom,90
C16,32.258000mm,-101.092000mm,Bottom,0
C18,84.582000mm,-90.599500mm,Bottom,270
C19,84.582000mm,-86.535500mm,Bottom,270
C20,67.818000mm,-94.087500mm,Bottom,270
C21,67.818000mm,-97.737500mm,Bottom,90
C22,67.818000mm,-86.535500mm,Bottom,90
C23,67.818000mm,-90.502500mm,Bottom,270
C24,103.632000mm,-90.599500mm,Bottom,270
C25,103.632000mm,-86.535500mm,Bottom,270
C26,86.868000mm,-94.087500mm,Bottom,270
C27,86.868000mm,-97.737500mm,Bottom,90
C28,86.868000mm,-86.535500mm,Bottom,90
C29,86.868000mm,-90.502500mm,Bottom,270
C30,60.769500mm,-90.599500mm,Bottom,270
C31,60.769500mm,-86.535500mm,Bottom,270
C32,44.005500mm,-94.087500mm,Bottom,270
C33,44.005500mm,-97.737500mm,Bottom,90
C34,44.005500mm,-86.535500mm,Bottom,90
C35,44.005500mm,-90.502500mm,Bottom,270
C36,75.057000mm,-71.549500mm,Bottom,270
C37,75.057000mm,-67.485500mm,Bottom,270
C38,58.293000mm,-75.037500mm,Bottom,270
C39,58.293000mm,-78.687500mm,Bottom,90
C40,58.293000mm,-67.485500mm,Bottom,90
C41,58.293000mm,-71.452500mm,Bottom,270
C42,94.107000mm,-71.549500mm,Bottom,270
C43,94.107000mm,-67.485500mm,Bottom,270
C44,77.343000mm,-75.037500mm,Bottom,270
C45,77.343000mm,-78.687500mm,Bottom,90
C46,77.343000mm,-67.485500mm,Bottom,90
C47,77.343000mm,-71.452500mm,Bottom,270
C48,56.007000mm,-71.549500mm,Bottom,270
C49,56.007000mm,-67.485500mm,Bottom,270
C50,39.243000mm,-75.037500mm,Bottom,270
C51,39.243000mm,-78.687500mm,Bottom,90
C52,39.243000mm,-67.485500mm,Bottom,90
C53,39.243000mm,-71.452500mm,Bottom,270
C54,89.382000mm,-109.688700mm,Bottom,270
C55,89.382000mm,-105.624700mm,Bottom,270
C56,72.618000mm,-113.176700mm,Bottom,270
C57,72.618000mm,-116.826700mm,Bottom,90
C58,72.618000mm,-105.624700mm,Bottom,90
C59,72.618000mm,-109.591700mm,Bottom,270
C60,108.382000mm,-109.688700mm,Bottom,270
C61,108.382000mm,-105.624700mm,Bottom,270
C62,91.618000mm,-113.176700mm,Bottom,270
C63,91.618000mm,-116.826700mm,Bottom,90
C64,91.618000mm,-105.624700mm,Bottom,90
C65,91.618000mm,-109.591700mm,Bottom,270
C66,63.622000mm,-109.688700mm,Bottom,270
C67,63.622000mm,-105.624700mm,Bottom,270
C68,46.858000mm,-113.176700mm,Bottom,270
C69,46.858000mm,-116.826700mm,Bottom,90
C70,46.858000mm,-105.624700mm,Bottom,90
C71,46.858000mm,-109.591700mm,Bottom,270
D1,100.454000mm,-66.421000mm,Bottom,180
D2,31.115000mm,-112.903000mm,Bottom,90
D3,131.064000mm,-127.762000mm,Bottom,0
D4,129.032000mm,-46.482000mm,Bottom,180
FB1,111.506000mm,-56.769000mm,Bottom,90
J16,76.200000mm,-86.410800mm,Bottom,180
J19,95.250000mm,-86.410800mm,Bottom,180
J22,52.387500mm,-86.410800mm,Bottom,180
J25,66.675000mm,-67.360800mm,Bottom,180
J28,85.725000mm,-67.360800mm,Bottom,180
J31,47.625000mm,-67.360800mm,Bottom,180
J34,81.000000mm,-105.500000mm,Bottom,180
J37,100.000000mm,-105.500000mm,Bottom,180
J40,55.240000mm,-105.500000mm,Bottom,180
L1,140.716000mm,-79.248000mm,Bottom,90
P1,111.125000mm,-49.276000mm,Bottom,0
R1,129.159000mm,-107.950000mm,Bottom,90
R2,137.160000mm,-108.204000mm,Bottom,90
R3,131.064000mm,-51.816000mm,Bottom,270
R6,35.433000mm,-106.553000mm,Bottom,180
R9,141.907500mm,-55.118000mm,Bottom,180
R10,141.909800mm,-57.226200mm,Bottom,180
R11,115.417600mm,-85.953600mm,Bottom,180
R12,115.392200mm,-88.188800mm,Bottom,180
R13,115.353000mm,-90.716000mm,Bottom,180
R14,115.353000mm,-92.964000mm,Bottom,180
R15,102.362000mm,-51.181000mm,Bottom,90
R16,123.571000mm,-111.506000mm,Bottom,0
R17,123.571000mm,-108.839000mm,Bottom,0
R18,123.571000mm,-106.172000mm,Bottom,0
R19,123.571000mm,-103.505000mm,Bottom,0
R20,32.082500mm,-116.459000mm,Bottom,0
R21,130.302000mm,-125.095000mm,Bottom,90
U1,131.318000mm,-71.501000mm,Bottom,270
U2,125.984000mm,-53.594000mm,Bottom,0
U3,66.294000mm,-57.150000mm,Bottom,0
U4,48.133000mm,-57.023000mm,Bottom,0
U5,118.364000mm,-55.880000mm,Bottom,180
Y1,141.986000mm,-71.247000mm,Bottom,90
Y2,137.795000mm,-97.409000mm,Bottom,180
