Designator,Mid X,Mid Y,Rotation,Layer
C10,36.068,-53.1368,180.0,top
C11,37.846,-56.9468,0.0,top
C12,35.687,-56.1848,90.0,bottom
C13,32.252,-60.8838,90.0,bottom
C14,36.068,-63.5508,90.0,bottom
C15,49.8056,-55.9054,180.0,top
C16,51.402,-51.420815,270.0,top
C17,48.4086,-54.7624,0.0,top
C18,51.7868,-55.9816,180.0,top
C19,48.822,-53.2878,270.0,top
C1_1,81.0895,-40.76475,270.0,bottom
C1_10,119.1895,-57.4335,270.0,bottom
C1_11,138.2395,-55.05225,270.0,bottom
C1_12,157.2895,-57.4335,270.0,bottom
C1_13,176.3395,-59.81475,270.0,bottom
C1_14,200.152,-59.81475,270.0,bottom
C1_15,81.0895,-78.86475,270.0,bottom
C1_16,100.1395,-78.86475,270.0,bottom
C1_17,119.1895,-76.4835,270.0,bottom
C1_18,138.2395,-74.10225,270.0,bottom
C1_19,157.2895,-76.4835,270.0,bottom
C1_2,100.1395,-40.76475,270.0,bottom
C1_20,174.371,-74.9808,90.0,bottom
C1_21,200.152,-78.86475,270.0,bottom
C1_22,77.226742,-102.000636,283.5,bottom
C1_23,100.1395,-97.91475,270.0,bottom
C1_24,119.1895,-95.5335,270.0,bottom
C1_25,138.2395,-93.15225,270.0,bottom
C1_26,157.2895,-95.5335,270.0,bottom
C1_27,176.3395,-97.91475,270.0,bottom
C1_28,200.152,-97.91475,270.0,bottom
C1_29,52.44762,-108.477911,290.0,bottom
C1_3,117.221,-40.3098,270.0,bottom
C1_30,60.557582,-129.134239,290.0,bottom
C1_31,82.897944,-123.71255,283.5,bottom
C1_32,107.028021,-121.150306,275.0,bottom
C1_33,138.2395,-112.20225,270.0,bottom
C1_34,157.2895,-114.5835,270.0,bottom
C1_35,176.3395,-116.96475,270.0,bottom
C1_36,195.3895,-116.96475,270.0,bottom
C1_4,138.2395,-36.00225,270.0,bottom
C1_5,157.2895,-38.3835,270.0,bottom
C1_6,176.3395,-40.76475,270.0,bottom
C1_7,200.152,-40.4368,270.0,bottom
C1_8,81.0895,-59.81475,270.0,bottom
C1_9,100.1395,-59.81475,270.0,bottom
C2,41.529,-72.3138,0.0,bottom
C20,50.202,-51.370815,270.0,top
C21,53.602,-51.420815,270.0,top
C22,52.502,-51.420815,270.0,top
C23,53.552,-53.320815,180.0,top
C24,47.852,-49.2478,180.0,top
C25,49.002,-51.370815,270.0,top
C26,53.7172,-56.070815,270.0,top
C2_1,66.8655,-39.49475,180.0,bottom
C2_10,104.9655,-56.1635,180.0,bottom
C2_11,124.0155,-53.78225,180.0,bottom
C2_12,143.0655,-56.1635,180.0,bottom
C2_13,162.1155,-58.54475,180.0,bottom
C2_14,185.928,-58.54475,180.0,bottom
C2_15,66.8655,-77.59475,180.0,bottom
C2_16,85.9155,-77.59475,180.0,bottom
C2_17,104.9655,-75.2135,180.0,bottom
C2_18,124.0155,-72.83225,180.0,bottom
C2_19,143.0655,-75.2135,180.0,bottom
C2_2,85.9155,-39.49475,180.0,bottom
C2_20,162.1155,-77.59475,180.0,bottom
C2_21,185.928,-77.59475,180.0,bottom
C2_22,63.099277,-104.086253,193.5,bottom
C2_23,85.9155,-96.64475,180.0,bottom
C2_24,104.9655,-94.2635,180.0,bottom
C2_25,124.0155,-91.88225,180.0,bottom
C2_26,143.0655,-94.2635,180.0,bottom
C2_27,162.1155,-96.64475,180.0,bottom
C2_28,185.928,-96.64475,180.0,bottom
C2_29,38.647067,-112.149396,200.0,bottom
C2_3,104.9655,-37.1135,180.0,bottom
C2_30,46.757029,-132.805724,200.0,bottom
C2_31,68.770479,-125.798167,193.5,bottom
C2_32,92.74746,-121.124842,185.0,bottom
C2_33,124.0155,-110.93225,180.0,bottom
C2_34,143.0655,-113.3135,180.0,bottom
C2_35,162.1155,-115.69475,180.0,bottom
C2_36,181.1655,-115.69475,180.0,bottom
C2_4,124.942,-33.9428,90.0,bottom
C2_5,143.0655,-37.1135,180.0,bottom
C2_6,162.1155,-39.49475,180.0,bottom
C2_7,185.928,-39.1668,180.0,bottom
C2_8,66.8655,-58.54475,180.0,bottom
C2_9,85.9155,-58.54475,180.0,bottom
C3,53.402,-60.9978,180.0,bottom
C30,37.465,-72.3138,0.0,bottom
C31,39.497,-72.3138,0.0,bottom
C32,43.561,-72.3138,0.0,bottom
C33,50.292,-71.9328,180.0,bottom
C34,50.292,-74.2188,180.0,bottom
C3_1,65.5955,-42.28875,180.0,bottom
C3_10,103.6955,-58.9575,180.0,bottom
C3_11,122.7455,-56.57625,180.0,bottom
C3_12,141.7955,-58.9575,180.0,bottom
C3_13,160.8455,-61.33875,180.0,bottom
C3_14,184.658,-61.33875,180.0,bottom
C3_15,65.5955,-80.38875,180.0,bottom
C3_16,84.6455,-80.38875,180.0,bottom
C3_17,103.6955,-78.0075,180.0,bottom
C3_18,122.7455,-75.62625,180.0,bottom
C3_19,141.7955,-78.0075,180.0,bottom
C3_2,84.6455,-42.28875,180.0,bottom
C3_20,160.8455,-80.38875,180.0,bottom
C3_21,184.658,-80.38875,180.0,bottom
C3_22,62.516613,-107.09953,193.5,bottom
C3_23,84.6455,-99.43875,180.0,bottom
C3_24,103.6955,-97.0575,180.0,bottom
C3_25,122.7455,-94.67625,180.0,bottom
C3_26,141.7955,-97.0575,180.0,bottom
C3_27,160.8455,-99.43875,180.0,bottom
C3_28,184.658,-99.43875,180.0,bottom
C3_29,38.409261,-115.209262,200.0,bottom
C3_3,103.6955,-39.9075,180.0,bottom
C3_30,46.519223,-135.86559,200.0,bottom
C3_31,68.187815,-128.811444,193.5,bottom
C3_32,91.725806,-124.018898,185.0,bottom
C3_33,122.7455,-113.72625,180.0,bottom
C3_34,141.7955,-116.1075,180.0,bottom
C3_35,160.8455,-118.48875,180.0,bottom
C3_36,179.8955,-118.48875,180.0,bottom
C3_4,122.552,-40.0978,270.0,bottom
C3_5,141.7955,-39.9075,180.0,bottom
C3_6,160.8455,-42.28875,180.0,bottom
C3_7,184.658,-41.9608,180.0,bottom
C3_8,65.5955,-61.33875,180.0,bottom
C3_9,84.6455,-61.33875,180.0,bottom
C4,39.952,-40.3478,180.0,top
C4_1,79.0575,-40.89175,270.0,bottom
C4_10,117.1575,-57.5605,270.0,bottom
C4_11,136.2075,-55.17925,270.0,bottom
C4_12,155.2575,-57.5605,270.0,bottom
C4_13,174.3075,-59.94175,270.0,bottom
C4_14,198.12,-59.94175,270.0,bottom
C4_15,79.0575,-78.99175,270.0,bottom
C4_16,98.1075,-78.99175,270.0,bottom
C4_17,117.1575,-76.6105,270.0,bottom
C4_18,136.2075,-74.22925,270.0,bottom
C4_19,155.2575,-76.6105,270.0,bottom
C4_2,98.1075,-40.89175,270.0,bottom
C4_20,174.3075,-78.99175,270.0,bottom
C4_21,198.12,-78.99175,270.0,bottom
C4_22,75.280534,-102.598488,283.5,bottom
C4_23,98.1075,-98.04175,270.0,bottom
C4_24,117.1575,-95.6605,270.0,bottom
C4_25,136.2075,-93.27925,270.0,bottom
C4_26,155.2575,-95.6605,270.0,bottom
C4_27,174.3075,-98.04175,270.0,bottom
C4_28,198.12,-98.04175,270.0,bottom
C4_29,50.581601,-109.292237,290.0,bottom
C4_3,118.999,-47.8828,270.0,bottom
C4_30,58.691563,-129.948565,290.0,bottom
C4_31,80.951736,-124.310402,283.5,bottom
C4_32,105.014822,-121.453923,275.0,bottom
C4_33,136.2075,-112.32925,270.0,bottom
C4_34,155.2575,-114.7105,270.0,bottom
C4_35,174.3075,-117.09175,270.0,bottom
C4_36,193.3575,-117.09175,270.0,bottom
