Designator,Quantity,Value,Footprint,LCSC Part #,Comment
"C1, C2",2,2.2uF,C_0603_1608Metric,C23630," Unpolarized capacitor, small symbol"
"C3, C5, C6",3,1uF,C_0402_1005Metric,C52923," Unpolarized capacitor, small symbol"
C4,1,4.7uF,C_0603_1608Metric,C19666," Unpolarized capacitor, small symbol"
D1,1,D_Small,D_SOD-323F,C2826370," Diode, small symbol"
J1,1,Conn_01x16,FPC_16_JUSHUO_AFC05_S16FIA_00,C561388," Generic connector, single row, 01x16, script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,North,TestPoin_1.5x1.5mm_Drill0.7mm,," Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
J3,1,WestFront,AtomConnect2,," Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)"
J4,1,EastFront,AtomConnect2,," Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)"
J5,1,WestBack,AtomConnectCS,," Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)"
J6,1,EastBack,AtomConnect2,," Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)"
J7,1,South,TestPoin_1.5x1.5mm_Drill0.7mm,," Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
J8,1,North2,TestPoin_1.5x1.5mm_Drill0.7mm,," Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
J9,1,South2,TestPoin_1.5x1.5mm_Drill0.7mm,," Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
LED1,1,WS2812B-Mini,WS2812B-Mini,C527089, RGB LED with integrated controller
SW1,1,SW_Push,SW_Cherry_MX_1.00u_PCB_NoSilk,," Push button switch, generic, two pins"
