Designator,Footprint,Quantity,Value,LCSC Part #
C10,0805,1,10uF 0805 16V,
C11,0603,1,22pF 0603 16V,
C12,0805,1,10uF 0805 16V,
C13,0805,1,10uF 0805 16V,
C14,0805,1,10uF 0805 16V,
C15,0402,1,100nF 0402 16V,C1525
C16,0402,1,100nF 0402 16V,C1525
C17,0402,1,100nF 0402 16V,C1525
C18,0402,1,100nF 0402 16V,C1525
C19,0402,1,100nF 0402 16V,C1525
C1_1,0603,1,2.2uF 0603 25V,
C1_10,0603,1,2.2uF 0603 25V,
C1_11,0603,1,2.2uF 0603 25V,
C1_12,0603,1,2.2uF 0603 25V,
C1_13,0603,1,2.2uF 0603 25V,
C1_14,0603,1,2.2uF 0603 25V,
C1_15,0603,1,2.2uF 0603 25V,
C1_16,0603,1,2.2uF 0603 25V,
C1_17,0603,1,2.2uF 0603 25V,
C1_18,0603,1,2.2uF 0603 25V,
C1_19,0603,1,2.2uF 0603 25V,
C1_2,0603,1,2.2uF 0603 25V,
C1_20,0603,1,2.2uF 0603 25V,
C1_21,0603,1,2.2uF 0603 25V,
C1_22,0603,1,2.2uF 0603 25V,
C1_23,0603,1,2.2uF 0603 25V,
C1_24,0603,1,2.2uF 0603 25V,
C1_25,0603,1,2.2uF 0603 25V,
C1_26,0603,1,2.2uF 0603 25V,
C1_27,0603,1,2.2uF 0603 25V,
C1_28,0603,1,2.2uF 0603 25V,
C1_29,0603,1,2.2uF 0603 25V,
C1_3,0603,1,2.2uF 0603 25V,
C1_30,0603,1,2.2uF 0603 25V,
C1_31,0603,1,2.2uF 0603 25V,
C1_32,0603,1,2.2uF 0603 25V,
C1_33,0603,1,2.2uF 0603 25V,
C1_34,0603,1,2.2uF 0603 25V,
C1_35,0603,1,2.2uF 0603 25V,
C1_36,0603,1,2.2uF 0603 25V,
C1_4,0603,1,2.2uF 0603 25V,
C1_5,0603,1,2.2uF 0603 25V,
C1_6,0603,1,2.2uF 0603 25V,
C1_7,0603,1,2.2uF 0603 25V,
C1_8,0603,1,2.2uF 0603 25V,
C1_9,0603,1,2.2uF 0603 25V,
C2,0402,1,1uF 0402 16V,
C20,0402,1,100nF 0402 16V,C1525
C21,0402,1,100nF 0402 16V,C1525
C22,0402,1,100nF 0402 16V,C1525
C23,0402,1,100nF 0402 16V,C1525
C24,0402,1,1uf 0402 16V,C52923
C25,0402,1,1uf 0402 16V,C52923
C26,0805,1,10uf 0805 16V,C15850
C2_1,0603,1,2.2uF 0603 16V,
C2_10,0603,1,2.2uF 0603 16V,
C2_11,0603,1,2.2uF 0603 16V,
C2_12,0603,1,2.2uF 0603 16V,
C2_13,0603,1,2.2uF 0603 16V,
C2_14,0603,1,2.2uF 0603 16V,
C2_15,0603,1,2.2uF 0603 16V,
C2_16,0603,1,2.2uF 0603 16V,
C2_17,0603,1,2.2uF 0603 16V,
C2_18,0603,1,2.2uF 0603 16V,
C2_19,0603,1,2.2uF 0603 16V,
C2_2,0603,1,2.2uF 0603 16V,
C2_20,0603,1,2.2uF 0603 16V,
C2_21,0603,1,2.2uF 0603 16V,
C2_22,0603,1,2.2uF 0603 16V,
C2_23,0603,1,2.2uF 0603 16V,
C2_24,0603,1,2.2uF 0603 16V,
C2_25,0603,1,2.2uF 0603 16V,
C2_26,0603,1,2.2uF 0603 16V,
C2_27,0603,1,2.2uF 0603 16V,
C2_28,0603,1,2.2uF 0603 16V,
C2_29,0603,1,2.2uF 0603 16V,
C2_3,0603,1,2.2uF 0603 16V,
C2_30,0603,1,2.2uF 0603 16V,
C2_31,0603,1,2.2uF 0603 16V,
C2_32,0603,1,2.2uF 0603 16V,
C2_33,0603,1,2.2uF 0603 16V,
C2_34,0603,1,2.2uF 0603 16V,
C2_35,0603,1,2.2uF 0603 16V,
C2_36,0603,1,2.2uF 0603 16V,
C2_4,0603,1,2.2uF 0603 16V,
