Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",480.568000,-32.512000,180.000000,top
"C2","1u","C_0402_1005Metric",436.753000,-40.132000,90.000000,top
"C3","1u","C_0402_1005Metric",440.537600,-45.313600,270.000000,top
"C4","1u","C_0402_1005Metric",478.307400,-33.959800,180.000000,top
"C5","10n","C_0402_1005Metric",478.307400,-35.102800,180.000000,top
"C6","4u7","C_0603_1608Metric",475.625792,-43.626408,45.000000,top
"C7","100n","C_0402_1005Metric",474.802200,-41.732200,315.000000,top
"C8","100n","C_0402_1005Metric",469.223411,-52.492589,225.000000,top
"C9","100n","C_0402_1005Metric",468.376000,-54.610000,270.000000,top
"C10","100n","C_0402_1005Metric",464.616800,-32.893000,180.000000,top
"C11","100n","C_0402_1005Metric",473.964000,-48.260000,0.000000,top
"C12","100n","C_0402_1005Metric",452.755000,-44.145200,225.000000,top
"C13","100n","C_0402_1005Metric",461.035400,-55.626000,180.000000,top
"C14","2u2","C_0603_1608Metric",468.122000,-33.528000,0.000000,top
"C15","2u2","C_0603_1608Metric",452.653400,-42.011600,225.000000,top
"C16","12p","C_0402_1005Metric",470.789000,-55.499000,135.000000,top
"C17","12p","C_0402_1005Metric",474.599000,-51.689000,315.000000,top
"D1","Reset","LED_0603_1608Metric",485.140000,-29.845000,0.000000,top
"D2","Status","LED_0603_1608Metric",460.883000,-29.845000,180.000000,top
"D3","Power","LED_0603_1608Metric",432.689000,-29.972000,180.000000,top
"F1","2A","Fuse_1206_3216Metric",441.020200,-41.427400,90.000000,top
"FB1","600 @ 600 MHz","L_0805_2012Metric",437.794400,-42.824400,0.000000,top
"FB2","600 @ 600 MHz","L_0805_2012Metric",479.348800,-36.601400,0.000000,top
"J1","SWD","SIDE-SWD",421.513000,-36.957000,0.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",440.690000,-31.496000,180.000000,top
"R1","100k","R_0402_1005Metric",473.329000,-32.512000,180.000000,top
"R2","10k","R_0402_1005Metric",480.568000,-33.782000,0.000000,top
"R3","100k","R_0402_1005Metric",464.566000,-30.480000,90.000000,top
"R4","22","R_0402_1005Metric",448.005200,-43.535600,180.000000,top
"R5","22","R_0402_1005Metric",427.609000,-45.618400,180.000000,top
"R6","1k5","R_0402_1005Metric",482.473000,-33.020000,270.000000,top
"R7","1k5","R_0402_1005Metric",463.296000,-30.480000,270.000000,top
"R8","22","R_0402_1005Metric",435.076600,-53.873400,180.000000,top
"R9","22","R_0402_1005Metric",480.568000,-35.179000,180.000000,top
"R10","5k1","R_0402_1005Metric",447.040000,-34.673000,90.000000,top
"R11","5k1","R_0402_1005Metric",434.289200,-34.671000,90.000000,top
"R12","1k5","R_0402_1005Metric",432.892200,-34.645600,270.000000,top
"R13","47","R_0402_1005Metric",471.119200,-51.206400,315.000000,top
"R14","10k","R_0402_1005Metric",447.040000,-32.512000,270.000000,top
"R15","10k","R_0402_1005Metric",458.216000,-31.879000,270.000000,top
"SW1","Boot0","SW_SPST_B3U-3000P-B",473.329000,-30.226000,0.000000,top
"SW2","Boot1","SW_SPST_B3U-3000P-B",468.376000,-30.226000,0.000000,top
"SW3","Reset","SW_SPST_B3U-3000P-B",480.568000,-30.226000,0.000000,top
"U1","XC6206P332MR","SOT-23",437.743600,-45.796200,180.000000,top
"U2","STM32F407VETx","LQFP-100_14x14mm_P0.5mm",463.964955,-44.483955,135.000000,top
"U3","W25N01GVZEIG","W25N01GVZEIG",452.882000,-33.274000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",472.694000,-53.594000,45.000000,top
