Designator,Mid X,Mid Y,Layer,Rotation
C1,480.568000mm,-32.512000mm,Top,180
C2,436.753000mm,-40.132000mm,Top,90
C3,440.537600mm,-45.313600mm,Top,270
C4,478.307400mm,-33.959800mm,Top,180
C5,478.307400mm,-35.102800mm,Top,180
C6,475.625792mm,-43.626408mm,Top,45
C7,474.802200mm,-41.732200mm,Top,315
C8,469.223411mm,-52.492589mm,Top,225
C9,468.376000mm,-54.610000mm,Top,270
C10,464.616800mm,-32.893000mm,Top,180
C11,473.964000mm,-48.260000mm,Top,0
C12,452.755000mm,-44.145200mm,Top,225
C13,461.035400mm,-55.626000mm,Top,180
C14,468.122000mm,-33.528000mm,Top,0
C15,452.653400mm,-42.011600mm,Top,225
C16,470.789000mm,-55.499000mm,Top,135
C17,474.599000mm,-51.689000mm,Top,315
D1,485.140000mm,-29.845000mm,Top,0
D2,460.883000mm,-29.845000mm,Top,180
D3,432.689000mm,-29.972000mm,Top,180
F1,441.020200mm,-41.427400mm,Top,90
FB1,437.794400mm,-42.824400mm,Top,0
FB2,479.348800mm,-36.601400mm,Top,0
J1,421.513000mm,-36.957000mm,Top,0
J2,440.690000mm,-31.496000mm,Top,180
R1,473.329000mm,-32.512000mm,Top,180
R2,480.568000mm,-33.782000mm,Top,0
R3,464.566000mm,-30.480000mm,Top,90
R4,448.005200mm,-43.535600mm,Top,180
R5,427.609000mm,-45.618400mm,Top,180
R6,482.473000mm,-33.020000mm,Top,270
R7,463.296000mm,-30.480000mm,Top,270
R8,435.076600mm,-53.873400mm,Top,180
R9,480.568000mm,-35.179000mm,Top,180
R10,447.040000mm,-34.673000mm,Top,90
R11,434.289200mm,-34.671000mm,Top,90
R12,432.892200mm,-34.645600mm,Top,270
R13,471.119200mm,-51.206400mm,Top,315
R14,447.040000mm,-32.512000mm,Top,270
R15,458.216000mm,-31.879000mm,Top,270
SW1,473.329000mm,-30.226000mm,Top,0
SW2,468.376000mm,-30.226000mm,Top,0
SW3,480.568000mm,-30.226000mm,Top,0
U1,437.743600mm,-45.796200mm,Top,0
U2,463.964955mm,-44.483955mm,Top,45
U3,452.882000mm,-33.274000mm,Top,270
Y1,472.694000mm,-53.594000mm,Top,45
