Designator,Mid X,Mid Y,Rotation,Layer
C10,202.6815,-54.36,180.0,top
C11,204.4595,-58.17,0.0,top
C12,202.3005,-57.408,90.0,bottom
C13,201.954,-62.249,90.0,bottom
C14,205.77,-64.916,90.0,bottom
C15,189.9076,-55.8421,180.0,top
C16,191.504,-51.357515,270.0,top
C17,188.5106,-54.6991,0.0,top
C18,191.8888,-55.9183,180.0,top
C19,188.924,-53.2245,270.0,top
C1_1,56.429,-40.438,270.0,bottom
C1_10,99.2915,-57.10675,270.0,bottom
C1_11,118.3415,-54.7255,270.0,bottom
C1_12,137.3915,-57.10675,270.0,bottom
C1_13,156.4415,-59.488,270.0,bottom
C1_14,175.4915,-59.488,270.0,bottom
C1_15,56.429,-78.538,270.0,bottom
C1_16,80.2415,-78.538,270.0,bottom
C1_17,99.2915,-76.15675,270.0,bottom
C1_18,118.3415,-73.7755,270.0,bottom
C1_19,137.3915,-76.15675,270.0,bottom
C1_2,80.2415,-40.438,270.0,bottom
C1_20,156.4415,-78.538,270.0,bottom
C1_21,175.4915,-78.538,270.0,bottom
C1_22,56.429,-97.588,270.0,bottom
C1_23,80.2415,-97.588,270.0,bottom
C1_24,99.2915,-95.20675,270.0,bottom
C1_25,118.3415,-92.8255,270.0,bottom
C1_26,137.3915,-95.20675,270.0,bottom
C1_27,156.4415,-97.588,270.0,bottom
C1_28,178.987992,-105.407182,256.5,bottom
C1_29,203.264656,-113.596525,250.0,bottom
C1_3,99.2915,-38.05675,270.0,bottom
C1_30,61.1915,-116.638,270.0,bottom
C1_31,80.2415,-116.638,270.0,bottom
C1_32,99.2915,-114.25675,270.0,bottom
C1_33,118.3415,-111.8755,270.0,bottom
C1_34,149.535927,-122.195615,265.0,bottom
C1_35,173.282789,-127.117552,256.5,bottom
C1_36,195.178203,-134.256838,250.0,bottom
C1_4,120.404,-39.399,270.0,bottom
C1_5,137.3915,-38.05675,270.0,bottom
C1_6,156.4415,-40.438,270.0,bottom
C1_7,175.4915,-40.438,270.0,bottom
C1_8,56.429,-59.488,270.0,bottom
C1_9,80.2415,-59.488,270.0,bottom
C2,192.848,-71.999,0.0,bottom
C20,190.304,-51.307515,270.0,top
C21,193.704,-51.357515,270.0,top
C22,192.604,-51.357515,270.0,top
C23,193.654,-53.257515,180.0,top
C24,186.1,-48.45,90.0,top
C25,189.104,-51.307515,270.0,top
C26,193.8192,-56.007515,270.0,top
C2_1,42.205,-39.168,180.0,bottom
C2_10,85.0675,-55.83675,180.0,bottom
C2_11,104.1175,-53.4555,180.0,bottom
C2_12,123.1675,-55.83675,180.0,bottom
C2_13,142.2175,-58.218,180.0,bottom
C2_14,161.2675,-58.218,180.0,bottom
C2_15,42.205,-77.268,180.0,bottom
C2_16,66.0175,-77.268,180.0,bottom
C2_17,85.0675,-74.88675,180.0,bottom
C2_18,104.1175,-72.5055,180.0,bottom
C2_19,123.1675,-74.88675,180.0,bottom
C2_2,66.0175,-39.168,180.0,bottom
C2_20,142.2175,-77.268,180.0,bottom
C2_21,161.2675,-77.268,180.0,bottom
C2_22,42.205,-96.318,180.0,bottom
C2_23,66.0175,-96.318,180.0,bottom
C2_24,85.0675,-93.93675,180.0,bottom
C2_25,104.1175,-91.5555,180.0,bottom
C2_26,123.1675,-93.93675,180.0,bottom
C2_27,142.2175,-96.318,180.0,bottom
C2_28,165.453479,-100.851746,166.5,bottom
C2_29,190.332834,-107.538221,160.0,bottom
C2_3,83.25,-38.15,180.0,bottom
C2_30,46.9675,-115.368,180.0,bottom
C2_31,66.0175,-115.368,180.0,bottom
C2_32,85.0675,-112.98675,180.0,bottom
C2_33,104.1175,-110.6055,180.0,bottom
C2_34,135.476742,-119.690744,175.0,bottom
C2_35,159.748276,-122.562116,166.5,bottom
C2_36,182.246381,-128.198534,160.0,bottom
C2_4,102.25,-35.8,180.0,bottom
C2_5,122.0,-39.4,270.0,bottom
C2_6,142.2175,-39.168,180.0,bottom
C2_7,161.2675,-39.168,180.0,bottom
C2_8,42.205,-58.218,180.0,bottom
C2_9,66.0175,-58.218,180.0,bottom
C3,193.504,-60.9345,180.0,bottom
C30,188.784,-71.999,0.0,bottom
C31,190.816,-71.999,0.0,bottom
C32,194.88,-71.999,0.0,bottom
C33,201.731,-71.3805,180.0,bottom
C34,201.731,-73.6665,180.0,bottom
C3_1,40.935,-41.962,180.0,bottom
C3_10,83.7975,-58.63075,180.0,bottom
C3_11,102.8475,-56.2495,180.0,bottom
C3_12,121.8975,-58.63075,180.0,bottom
C3_13,140.9475,-61.012,180.0,bottom
C3_14,159.9975,-61.012,180.0,bottom
C3_15,40.935,-80.062,180.0,bottom
C3_16,80.7,-83.0,270.0,bottom
C3_17,83.7975,-77.68075,180.0,bottom
C3_18,102.8475,-75.2995,180.0,bottom
C3_19,121.8975,-77.68075,180.0,bottom
C3_2,64.7475,-41.962,180.0,bottom
C3_20,140.9475,-80.062,180.0,bottom
C3_21,159.9975,-80.062,180.0,bottom
C3_22,40.935,-99.112,180.0,bottom
C3_23,64.7475,-99.112,180.0,bottom
C3_24,83.7975,-96.73075,180.0,bottom
C3_25,102.8475,-94.3495,180.0,bottom
C3_26,121.8975,-96.73075,180.0,bottom
C3_27,140.9475,-99.112,180.0,bottom
C3_28,163.566323,-103.272071,166.5,bottom
C3_29,188.18382,-109.729356,160.0,bottom
C3_3,83.7975,-39.58075,180.0,bottom
C3_30,45.6975,-118.162,180.0,bottom
C3_31,64.7475,-118.162,180.0,bottom
C3_32,83.7975,-115.78075,180.0,bottom
C3_33,102.8475,-113.3995,180.0,bottom
C3_34,133.968062,-122.363424,175.0,bottom
C3_35,157.86112,-124.982441,166.5,bottom
C3_36,180.097367,-130.389669,160.0,bottom
C3_4,102.8475,-37.1995,180.0,bottom
C3_5,121.629,-41.424,180.0,bottom
C3_6,140.9475,-41.962,180.0,bottom
C3_7,159.9975,-41.962,180.0,bottom
C3_8,40.935,-61.012,180.0,bottom
C3_9,64.7475,-61.012,180.0,bottom
C4,201.454,-40.099,90.0,top
C4_1,54.397,-40.565,270.0,bottom
C4_10,97.2595,-57.23375,270.0,bottom
C4_11,116.3095,-54.8525,270.0,bottom
C4_12,135.3595,-57.23375,270.0,bottom
C4_13,154.4095,-59.615,270.0,bottom
C4_14,173.4595,-59.615,270.0,bottom
C4_15,54.397,-78.665,270.0,bottom
C4_16,78.2095,-78.665,270.0,bottom
C4_17,97.2595,-76.28375,270.0,bottom
C4_18,116.3095,-73.9025,270.0,bottom
C4_19,135.3595,-76.28375,270.0,bottom
C4_2,78.2095,-40.565,270.0,bottom
C4_20,154.4095,-78.665,270.0,bottom
C4_21,173.4595,-78.665,270.0,bottom
C4_22,54.397,-97.715,270.0,bottom
C4_23,78.2095,-97.715,270.0,bottom
C4_24,97.2595,-95.33375,270.0,bottom
C4_25,116.3095,-92.9525,270.0,bottom
C4_26,135.3595,-95.33375,270.0,bottom
C4_27,154.4095,-97.715,270.0,bottom
C4_28,176.982489,-105.056312,256.5,bottom
C4_29,201.311764,-113.020881,250.0,bottom
C4_3,97.2595,-38.18375,270.0,bottom
C4_30,59.1595,-116.765,270.0,bottom
C4_31,78.2095,-116.765,270.0,bottom
C4_32,97.2595,-114.38375,270.0,bottom
C4_33,116.3095,-112.0025,270.0,bottom
