Designator,Mid X,Mid Y,Rotation,Layer
C10,36.068,-53.1368,180,top
C11,37.846,-56.9468,0,top
C12,35.687,-56.1848,90,bottom
C13,32.252,-60.8838,90,bottom
C14,36.068,-63.5508,90,bottom
C15,49.8056,-55.9054,180,top
C16,51.402,-51.420815,270,top
C17,48.4086,-54.7624,0,top
C18,51.7868,-55.9816,180,top
C19,48.822,-53.2878,270,top
C1_1,81.0895,-40.43675,270,bottom
C1_10,119.1895,-57.1055,270,bottom
C1_11,138.2395,-54.72425,270,bottom
C1_12,157.2895,-57.1055,270,bottom
C1_13,176.3395,-59.48675,270,bottom
C1_14,200.152,-59.48675,270,bottom
C1_15,81.0895,-78.53675,270,bottom
C1_16,100.1395,-78.53675,270,bottom
C1_17,119.1895,-76.1555,270,bottom
C1_18,138.2395,-73.77425,270,bottom
C1_19,157.2895,-76.1555,270,bottom
C1_2,100.1395,-40.43675,270,bottom
C1_20,174.371,-74.6528,90,bottom
C1_21,200.152,-78.53675,270,bottom
C1_22,77.226742,-101.672636,256.5,bottom
C1_23,100.1395,-97.58675,270,bottom
C1_24,119.1895,-95.2055,270,bottom
C1_25,138.2395,-92.82425,270,bottom
C1_26,157.2895,-95.2055,270,bottom
C1_27,176.3395,-97.58675,270,bottom
C1_28,200.152,-97.58675,270,bottom
C1_29,52.44762,-108.149911,250,bottom
C1_3,117.221,-39.9818,270,bottom
C1_30,60.557582,-128.806239,250,bottom
C1_31,82.897944,-123.38455,256.5,bottom
C1_32,107.028021,-120.822306,265,bottom
C1_33,138.2395,-111.87425,270,bottom
C1_34,157.2895,-114.2555,270,bottom
C1_35,176.3395,-116.63675,270,bottom
C1_36,195.3895,-116.63675,270,bottom
C1_4,138.2395,-35.67425,270,bottom
C1_5,157.2895,-38.0555,270,bottom
C1_6,176.3395,-40.43675,270,bottom
C1_7,200.152,-40.4368,270,bottom
C1_8,81.0895,-59.48675,270,bottom
C1_9,100.1395,-59.48675,270,bottom
C2,41.529,-72.3138,180,bottom
C20,50.202,-51.370815,270,top
C21,53.602,-51.420815,270,top
C22,52.502,-51.420815,270,top
C23,53.552,-53.320815,180,top
C24,47.852,-49.2478,180,top
C25,49.002,-51.370815,270,top
C26,53.7172,-56.070815,270,top
C2_1,66.8655,-39.16675,0,bottom
C2_10,104.9655,-55.8355,0,bottom
C2_11,124.0155,-53.45425,0,bottom
C2_12,143.0655,-55.8355,0,bottom
C2_13,162.1155,-58.21675,0,bottom
C2_14,185.928,-58.21675,0,bottom
C2_15,66.8655,-77.26675,0,bottom
C2_16,85.9155,-77.26675,0,bottom
C2_17,104.9655,-74.8855,0,bottom
C2_18,124.0155,-72.50425,0,bottom
C2_19,143.0655,-74.8855,0,bottom
C2_2,85.9155,-39.16675,0,bottom
C2_20,162.1155,-77.26675,0,bottom
C2_21,185.928,-77.26675,0,bottom
C2_22,63.099277,-103.758253,346.5,bottom
C2_23,85.9155,-96.31675,0,bottom
C2_24,104.9655,-93.9355,0,bottom
C2_25,124.0155,-91.55425,0,bottom
C2_26,143.0655,-93.9355,0,bottom
C2_27,162.1155,-96.31675,0,bottom
C2_28,185.928,-96.31675,0,bottom
C2_29,38.647067,-111.821396,340,bottom
C2_3,104.9655,-36.7855,0,bottom
C2_30,46.757029,-132.477724,340,bottom
C2_31,68.770479,-125.470167,346.5,bottom
C2_32,92.74746,-120.796842,355,bottom
C2_33,124.0155,-110.60425,0,bottom
C2_34,143.0655,-112.9855,0,bottom
C2_35,162.1155,-115.36675,0,bottom
C2_36,181.1655,-115.36675,0,bottom
C2_4,124.942,-33.6148,90,bottom
C2_5,143.0655,-36.7855,0,bottom
C2_6,162.1155,-39.16675,0,bottom
C2_7,185.928,-39.1668,0,bottom
C2_8,66.8655,-58.21675,0,bottom
C2_9,85.9155,-58.21675,0,bottom
C3,53.402,-60.9978,0,bottom
C30,37.465,-72.3138,180,bottom
C31,39.497,-72.3138,180,bottom
C32,43.561,-72.3138,180,bottom
C33,50.292,-71.9328,180,bottom
C34,50.292,-74.2188,180,bottom
C3_1,65.5955,-41.96075,0,bottom
C3_10,103.6955,-58.6295,0,bottom
C3_11,122.7455,-56.24825,0,bottom
C3_12,141.7955,-58.6295,0,bottom
C3_13,160.8455,-61.01075,0,bottom
C3_14,184.658,-61.01075,0,bottom
C3_15,65.5955,-80.06075,0,bottom
C3_16,84.6455,-80.06075,0,bottom
C3_17,103.6955,-77.6795,0,bottom
C3_18,122.7455,-75.29825,0,bottom
C3_19,141.7955,-77.6795,0,bottom
C3_2,84.6455,-41.96075,0,bottom
C3_20,160.8455,-80.06075,0,bottom
C3_21,184.658,-80.06075,0,bottom
C3_22,62.516613,-106.77153,346.5,bottom
C3_23,84.6455,-99.11075,0,bottom
C3_24,103.6955,-96.7295,0,bottom
C3_25,122.7455,-94.34825,0,bottom
C3_26,141.7955,-96.7295,0,bottom
C3_27,160.8455,-99.11075,0,bottom
C3_28,184.658,-99.11075,0,bottom
C3_29,38.409261,-114.881262,340,bottom
C3_3,103.6955,-39.5795,0,bottom
C3_30,46.519223,-135.53759,340,bottom
C3_31,68.187815,-128.483444,346.5,bottom
C3_32,91.725806,-123.690898,355,bottom
C3_33,122.7455,-113.39825,0,bottom
C3_34,141.7955,-115.7795,0,bottom
C3_35,160.8455,-118.16075,0,bottom
C3_36,179.8955,-118.16075,0,bottom
C3_4,122.552,-39.7698,270,bottom
C3_5,141.7955,-39.5795,0,bottom
C3_6,160.8455,-41.96075,0,bottom
C3_7,184.658,-41.9608,0,bottom
C3_8,65.5955,-61.01075,0,bottom
C3_9,84.6455,-61.01075,0,bottom
C4,33.7,-45.05,90,top
C4_1,79.0575,-40.56375,90,bottom
C4_10,117.1575,-57.2325,90,bottom
C4_11,136.2075,-54.85125,90,bottom
C4_12,155.2575,-57.2325,90,bottom
C4_13,174.3075,-59.61375,90,bottom
C4_14,198.12,-59.61375,90,bottom
C4_15,79.0575,-78.66375,90,bottom
C4_16,98.1075,-78.66375,90,bottom
C4_17,117.1575,-76.2825,90,bottom
C4_18,136.2075,-73.90125,90,bottom
C4_19,155.2575,-76.2825,90,bottom
C4_2,98.1075,-40.56375,90,bottom
C4_20,174.3075,-78.66375,90,bottom
C4_21,198.12,-78.66375,90,bottom
C4_22,75.280534,-102.270488,76.5,bottom
C4_23,98.1075,-97.71375,90,bottom
C4_24,117.1575,-95.3325,90,bottom
C4_25,136.2075,-92.95125,90,bottom
C4_26,155.2575,-95.3325,90,bottom
C4_27,174.3075,-97.71375,90,bottom
C4_28,198.12,-97.71375,90,bottom
C4_29,50.581601,-108.964237,70,bottom
C4_3,118.999,-47.5548,90,bottom
C4_30,58.691563,-129.620565,70,bottom
C4_31,80.951736,-123.982402,76.5,bottom
C4_32,105.014822,-121.125923,85,bottom
C4_33,136.2075,-112.00125,90,bottom
C4_34,155.2575,-114.3825,90,bottom
C4_35,174.3075,-116.76375,90,bottom
C4_36,193.3575,-116.76375,90,bottom
C4_4,136.2075,-35.80125,90,bottom
C4_5,155.2575,-38.1825,90,bottom
C4_6,174.3075,-40.56375,90,bottom
C4_7,198.12,-40.5638,90,bottom
C4_8,79.0575,-59.61375,90,bottom
C4_9,98.1075,-59.61375,90,bottom
C5,41.052,-46.8478,90,top
C5_1,67.5005,-41.96075,0,bottom
C5_10,105.6005,-58.6295,0,bottom
C5_11,124.6505,-56.24825,0,bottom
C5_12,143.7005,-58.6295,0,bottom
C5_13,162.7505,-61.01075,0,bottom
C5_14,186.563,-61.01075,0,bottom
C5_15,67.5005,-80.06075,0,bottom
C5_16,86.5505,-80.06075,0,bottom
C5_17,105.6005,-77.6795,0,bottom
C5_18,124.6505,-75.29825,0,bottom
C5_19,143.7005,-77.6795,0,bottom
C5_2,86.5505,-41.96075,0,bottom
C5_20,162.7505,-80.06075,0,bottom
C5_21,186.563,-80.06075,0,bottom
C5_22,64.368978,-106.326817,346.5,bottom
C5_23,86.5505,-99.11075,0,bottom
C5_24,105.6005,-96.7295,0,bottom
C5_25,124.6505,-94.34825,0,bottom
C5_26,143.7005,-96.7295,0,bottom
C5_27,162.7505,-99.11075,0,bottom
C5_28,186.563,-99.11075,0,bottom
C5_29,40.199376,-114.229714,340,bottom
C5_3,105.6005,-39.5795,0,bottom
C5_30,48.309338,-134.886042,340,bottom
C5_31,70.04018,-128.038731,346.5,bottom
C5_32,93.623557,-123.524866,355,bottom
C5_33,124.6505,-113.39825,0,bottom
C5_34,143.7005,-115.7795,0,bottom
C5_35,162.7505,-118.16075,0,bottom
C5_36,181.8005,-118.16075,0,bottom
C5_4,124.6505,-37.19825,0,bottom
C5_5,143.7005,-39.5795,0,bottom
C5_6,162.7505,-41.96075,0,bottom
C5_7,186.563,-41.9608,0,bottom
C5_8,67.5005,-61.01075,0,bottom
C5_9,86.5505,-61.01075,0,bottom
C6,37.752,-46.7978,90,top
C6_1,67.5005,-40.43675,180,bottom
C6_10,105.6005,-57.1055,180,bottom
C6_11,124.6505,-54.72425,180,bottom
C6_12,143.7005,-57.1055,180,bottom
C6_13,162.7505,-59.48675,180,bottom
C6_14,186.563,-59.48675,180,bottom
C6_15,67.5005,-78.53675,180,bottom
C6_16,86.5505,-78.53675,180,bottom
C6_17,105.6005,-76.1555,180,bottom
C6_18,124.6505,-73.77425,180,bottom
C6_19,143.7005,-76.1555,180,bottom
C6_2,86.5505,-40.43675,180,bottom
C6_20,162.7505,-78.53675,180,bottom
C6_21,186.563,-78.53675,180,bottom
C6_22,64.013207,-104.844925,166.5,bottom
C6_23,86.5505,-97.58675,180,bottom
C6_24,105.6005,-95.2055,180,bottom
C6_25,124.6505,-92.82425,180,bottom
C6_26,143.7005,-95.2055,180,bottom
C6_27,162.7505,-97.58675,180,bottom
C6_28,186.563,-97.58675,180,bottom
C6_29,39.678137,-112.797622,160,bottom
C6_3,105.6005,-38.0555,180,bottom
C6_30,47.788099,-133.45395,160,bottom
C6_31,69.684409,-126.556839,166.5,bottom
C6_32,93.490732,-122.006666,175,bottom
C6_33,124.6505,-111.87425,180,bottom
C6_34,143.7005,-114.2555,180,bottom
C6_35,162.7505,-116.63675,180,bottom
C6_36,181.8005,-116.63675,180,bottom
C6_4,124.6505,-35.67425,180,bottom
C6_5,143.7005,-38.0555,180,bottom
C6_6,162.7505,-40.43675,180,bottom
C6_7,186.563,-40.4368,180,bottom
C6_8,67.5005,-59.48675,180,bottom
C6_9,86.5505,-59.48675,180,bottom
C8,52.402,-65.9978,270,bottom
C9,57.852,-42.3978,90,bottom
D1,40.894,-35.9918,90,bottom
D12,54.052,-100.1478,180,bottom
D1_1,65.5955,-44.28075,270,bottom
D1_10,103.682,-70.1698,90,bottom
D1_11,122.702,-67.8698,90,bottom
D1_12,140.7836,-61.9274,180,bottom
D1_13,159.8168,-64.2896,180,bottom
D1_14,183.642,-64.2388,180,bottom
D1_15,65.5955,-82.38075,270,bottom
D1_16,84.622,-91.5398,90,bottom
D1_17,103.692,-89.3598,90,bottom
D1_18,122.777,-87.0448,90,bottom
D1_19,140.692,-80.8698,180,bottom
D1_2,84.612,-53.5398,90,bottom
D1_20,159.766,-83.3396,180,bottom
D1_21,184.658,-90.4008,90,bottom
D1_22,63.058206,-109.027428,256.5,bottom
D1_23,84.622,-110.1398,90,bottom
D1_24,103.692,-107.0298,90,bottom
D1_25,122.727,-105.4198,90,bottom
D1_26,140.722,-99.9498,180,bottom
D1_27,159.766,-102.415,180,bottom
D1_28,183.642,-102.3388,180,bottom
D1_29,39.202748,-117.061349,250,bottom
D1_3,103.722,-49.8098,90,bottom
D1_30,47.31271,-137.717677,250,bottom
D1_31,68.729408,-130.739342,256.5,bottom
D1_32,91.928007,-126.00207,265,bottom
D1_33,119.502,-116.0948,270,bottom
D1_34,140.732,-118.9898,180,bottom
D1_35,159.7914,-121.4142,180,bottom
D1_36,178.816,-121.3888,180,bottom
D1_4,122.777,-48.0198,90,bottom
D1_5,140.6652,-42.8774,180,bottom
D1_6,159.8422,-45.1634,180,bottom
D1_7,183.642,-44.8078,180,bottom
D1_8,65.5955,-63.33075,270,bottom
D1_9,84.622,-72.4398,90,bottom
D2,41.05,-39.25,0,top
D5,32.652,-75.5478,90,bottom
D6,32.702,-67.5978,90,bottom
DBG1,42.164,-63.2818,0,bottom
DBG3,203.835,-102.4078,0,top
FB1,56.515,-37.338,90,bottom
FB2,35.182,-95.60955,270,bottom
J1,73.152,-41.16925,180,bottom
J10,111.252,-57.838,180,bottom
J11,130.302,-55.45675,180,bottom
J12,149.352,-57.838,180,bottom
J13,168.402,-60.21925,180,bottom
J14,192.2145,-60.21925,180,bottom
J15,73.152,-79.26925,180,bottom
J16,92.202,-79.26925,180,bottom
J17,111.252,-76.888,180,bottom
J18,130.302,-74.50675,180,bottom
J19,149.352,-76.888,180,bottom
J2,92.202,-41.16925,180,bottom
J20,168.402,-79.26925,180,bottom
J21,192.2145,-79.26925,180,bottom
J22,69.679555,-104.23787,166.5,bottom
J23,92.202,-98.31925,180,bottom
J24,111.252,-95.938,180,bottom
J25,130.302,-93.55675,180,bottom
J26,149.352,-95.938,180,bottom
J27,168.402,-98.31925,180,bottom
J28,192.2145,-98.31925,180,bottom
J29,45.23934,-111.553021,160,bottom
J3,111.252,-38.788,180,bottom
J30,53.349302,-132.209349,160,bottom
J31,75.350757,-125.949784,166.5,bottom
J32,99.184568,-122.243818,175,bottom
J33,130.302,-112.60675,180,bottom
J34,149.352,-114.988,180,bottom
J35,168.402,-117.36925,180,bottom
J36,187.452,-117.36925,180,bottom
J37,44.279458,-81.020536,340,bottom
J38,59.331119,-91.926165,20,top
J39,45.102,-72.117353,0,top
J4,130.302,-36.40675,180,bottom
J5,149.352,-38.788,180,bottom
J6,168.402,-41.16925,180,bottom
J7,192.2145,-41.1693,180,bottom
J8,73.152,-60.21925,180,bottom
J9,92.202,-60.21925,180,bottom
L1,39.878,-54.7878,270,bottom
L2,39.751,-45.2628,270,bottom
